Campaign,Client,Start Date,End Date,Budget,Status,Impressions
Spring Harvest Launch,GreenLeaf Organics,2025-12-01,2026-01-15,18000,Completed,342000
Organic Meal Kits Promo,GreenLeaf Organics,2026-01-05,2026-02-28,12500,Active,198000
Farm-to-Table Awareness,GreenLeaf Organics,2026-02-10,2026-03-31,8500,Active,47000
New Year Fitness Push,UrbanFit,2025-12-15,2026-01-31,22000,Completed,485000
Spring Workout Collection,UrbanFit,2026-01-20,2026-03-15,15000,Active,156000
UrbanFit App Download Drive,UrbanFit,2026-02-01,2026-02-28,5500,Active,89000
Athleisure Lifestyle Series,UrbanFit,2026-03-01,2026-04-15,9800,Planning,0
TechNova Brand Awareness,TechNova,2025-12-10,2026-01-10,25000,Completed,412000
Developer Community Outreach,TechNova,2026-01-15,2026-02-28,7500,Active,63000
TechNova Product Launch,TechNova,2026-02-15,2026-04-01,20000,Planning,0
GreenLeaf Valentine's Special,GreenLeaf Organics,2026-02-01,2026-02-14,3200,Completed,72000
UrbanFit Marathon Sponsorship,UrbanFit,2026-01-10,2026-01-25,2000,Paused,15000
